id_game,name_game,genre_str,playtime_forever,playtime_normalized
730,COUNTER STRIKE GLOBAL OFFENSIVE,Action,785184267.0,1.0
4000,GARRYS MOD,"Indie, Simulation",448366616.0,0.5709844772001803
105600,TERRARIA,"Action, Indie, RPG, Adventure",154974541.0,0.19728151339247618
230410,WARFRAME,"Action, Free to Play",124027703.0,0.15786352611017865
240,COUNTER STRIKE SOURCE,Action,112612047.0,0.14332303628607826
550,LEFT 4 DEAD 2,Action,102189423.0,0.13004740339976628
218620,PAYDAY 2,"Action, Simulation, Strategy, Adventure, First-Person, FPS, Stealth, Singleplayer, Shooter, Great Soundtrack, Multiplayer, Co-op, Team-Based, Online Co-Op, Funny, Crime, Gun Customization, Tactical, PvE, Heist",99763914.0,0.12695795423164455
8930,SID MEIERS CIVILIZATIONR V,Strategy,82380684.0,0.1048163726243329
252490,RUST,"Action, Indie, RPG, Adventure, Early Access, Massively Multiplayer",81120416.0,0.10321112856042283
49520,BORDERLANDS 2,"Action, RPG",80428584.0,0.10232991979274561
107410,ARMA 3,"Action, Simulation, Strategy",67331904.0,0.0856482553952288
271590,GRAND THEFT AUTO V,"Action, Adventure",59709682.0,0.07593958500186426
304930,UNTURNED,"Action, Casual, Indie, Free to Play, Adventure",50953961.0,0.06478714031509707
377160,FALLOUT 4,RPG,45274661.0,0.057553232438229254
236390,WAR THUNDER,"Action, Simulation, Strategy, Free to Play, Massively Multiplayer, FPS, Shooter, Open World, Multiplayer, Arcade, Co-op, Team-Based, Flight, Military, Realistic, War, TrackIR, Tanks, World War II, Historical",43565714.0,0.055376491437674674
218230,PLANETSIDE 2,"Action, Free to Play, Massively Multiplayer",41441966.0,0.05267140500348696
33930,ARMA 2 OPERATION ARROWHEAD,"Action, Simulation, Strategy",40473489.0,0.05143782456243519
48700,MOUNT  BLADE WARBAND,"Action, RPG",39616648.0,0.05034643850092703
346110,ARK SURVIVAL EVOLVED,"Action, Indie, RPG, Adventure, Massively Multiplayer",38546924.0,0.048983896485242956
221100,DAYZ,"Action, Indie, Early Access, Massively Multiplayer",36440994.0,0.046301505413256575
252950,ROCKET LEAGUER,"Action, Indie, Sports, Racing",35886124.0,0.04559474956946638
22380,FALLOUT NEW VEGAS,"Action, RPG",34473323.0,0.04379521929595614
363970,CLICKER HEROES,"Casual, Indie, Simulation, Strategy, Free to Play, RPG, Adventure",33263285.0,0.042253954805700406
1250,KILLING FLOOR,Action,29992582.0,0.038087954736220855
211820,STARBOUND,"Action, Casual, Indie, RPG, Adventure",28222587.0,0.03583345492594201
620,PORTAL 2,"Action, Adventure",26439449.0,0.0335622144519853
250900,THE BINDING OF ISAAC REBIRTH,Action,25800414.0,0.03274825492878804
55230,SAINTS ROW THE THIRD,Action,24616505.0,0.03124027178991622
301520,ROBOCRAFT,"Action, Indie, Simulation, Free to Play, RPG, Massively Multiplayer",23435234.0,0.029735648756863638
200210,REALM OF THE MAD GOD,"Action, Indie, Free to Play, RPG, Massively Multiplayer",20181207.0,0.025590889447293697
219640,CHIVALRY MEDIEVAL WARFARE,"Action, Indie",18877012.0,0.023929694144444468
214950,TOTAL WARTM ROME II   EMPEROR EDITION,Strategy,17720202.0,0.022456227877291922
304050,TROVE,"Action, Casual, Free to Play, RPG, Adventure, Massively Multiplayer",17558622.0,0.02225041821153306
10,COUNTER STRIKE,Action,17386015.0,0.02203056309965263
99900,SPIRAL KNIGHTS,"Action, Indie, Free to Play, RPG, Adventure, Massively Multiplayer",17259605.0,0.021869550599042543
113200,THE BINDING OF ISAAC,"Action, Indie, RPG, Adventure",16383565.0,0.020753710151020555
346900,ADVENTURE CAPITALIST,"Casual, Indie, Free to Play",16044995.0,0.0203224626046907
220200,KERBAL SPACE PROGRAM,"Indie, Simulation",15695706.0,0.01987756192178906
200510,XCOM ENEMY UNKNOWN,Strategy,15027555.0,0.01902651640881438
65800,DUNGEON DEFENDERS,"Action, Indie, Strategy, RPG",14978973.0,0.018964635945997836
236850,EUROPA UNIVERSALIS IV,"Simulation, Strategy",14528532.0,0.01839089469303282
211420,DARK SOULSTM PREPARE TO DIETM EDITION,"Action, RPG",14511426.0,0.01836910622823228
113400,APB RELOADED,"Action, Free to Play, Massively Multiplayer",14347147.0,0.01815985875898361
227940,HEROES  GENERALS,"Action, Indie, Free to Play, Massively Multiplayer",14037711.0,0.017765720129612656
24960,BATTLEFIELD BAD COMPANYTM 2,Action,14029856.0,0.017755714962360915
8190,JUST CAUSE 2,"Action, Adventure",13569635.0,0.017169516607458028
311210,CALL OF DUTYR BLACK OPS III,"Action, Adventure",13201968.0,0.01670120727226454
500,LEFT 4 DEAD,Action,13079802.0,0.016545600491554693
386360,SMITER,"Action, Free to Play",12878671.0,0.016289413439421103
221380,AGE OF EMPIRES II HD,Strategy,12658783.0,0.01600933499045227
206420,SAINTS ROW IV,"Action, Adventure",12615516.0,0.01595422441483407
220240,FAR CRY 3,"Action, Adventure",12185296.0,0.015406239302798065
231430,COMPANY OF HEROES 2,Strategy,11496852.0,0.014529345940168447
8980,BORDERLANDS,"Action, RPG",11488444.0,0.014518636398952327
212680,FTL FASTER THAN LIGHT,"Indie, Simulation, Strategy",11340421.0,0.014330094722045385
222880,INSURGENCY,"Action, Indie, Strategy",11321864.0,0.014306458071671036
220,HALF LIFE 2,Action,10857733.0,0.013715279423457606
209870,BLACKLIGHT RETRIBUTION,"Action, Free to Play",10605796.0,0.013394379127862295
333930,DIRTY BOMBR,"Action, Free to Play",10494040.0,0.013252031900442147
261640,BORDERLANDS THE PRE SEQUEL,"Action, RPG",10128321.0,0.0127862037957778
359550,TOM CLANCYS RAINBOW SIXR SIEGE,Action,10061530.0,0.01270112994142887
236430,DARK SOULSTM II,"Action, RPG",10014461.0,0.012641176635589016
10500,EMPIRE TOTAL WARTM,Strategy,9994588.0,0.012615863753501964
203770,CRUSADER KINGS II,"Simulation, Strategy, RPG",9877451.0,0.012466662572551378
323370,TERA,"Action, Free to Play, RPG, Adventure, Massively Multiplayer",9813621.0,0.012385360239556031
204300,AWESOMENAUTS   THE 2D MOBA,"Action, Indie, Strategy, Free to Play",9799567.0,0.012367459205748783
322330,DONT STARVE TOGETHER,"Indie, Simulation, Adventure",9748900.0,0.012302923011077388
374320,DARK SOULSTM III,Action,9635703.0,0.012158740335406476
233450,PRISON ARCHITECT,"Indie, Simulation, Strategy",9398643.0,0.011856789355305004
35450,RED ORCHESTRA 2 HEROES OF STALINGRAD WITH RISING STORM,"Action, Simulation, Massively Multiplayer",9225814.0,0.01163665147485298
200710,TORCHLIGHT II,"Action, Indie, RPG, Adventure",9095339.0,0.011470461252425157
24240,PAYDAYTM THE HEIST,Action,9010606.0,0.011362534093069138
42700,CALL OF DUTYR BLACK OPS,Action,8752303.0,0.011033525217623468
287700,METAL GEAR SOLID V THE PHANTOM PAIN,"Action, Adventure",8290721.0,0.010445593313054172
224260,NO MORE ROOM IN HELL,"Action, Indie, Free to Play",7945670.0,0.010006090707658944
10090,CALL OF DUTY WORLD AT WAR,Action,7665369.0,0.009649062268979191
8870,BIOSHOCK INFINITE,Action,7621611.0,0.00959332629079949
255710,CITIES SKYLINES,"Simulation, Strategy",7582614.0,0.009543654552121444
39210,FINAL FANTASY XIV ONLINE,"RPG, Massively Multiplayer",7562552.0,0.009518100934628845
205100,DISHONORED,"Action, Adventure",7512341.0,0.009454145561888295
9900,STAR TREK ONLINE,"Free to Play, RPG, Massively Multiplayer",7464778.0,0.009393563032290022
39120,RIFT,"Free to Play, RPG, Massively Multiplayer",7437432.0,0.009358731548691546
208090,LOADOUT,"Action, Indie, Free to Play",7398801.0,0.009309525996036945
232090,KILLING FLOOR 2,Action,7329820.0,0.00922166266794119
224540,ACE OF SPADES BATTLE BUILDER,"Action, Indie",7254821.0,0.009126134018837037
42910,MAGICKA,"Action, RPG",7029628.0,0.008839298419992904
413150,STARDEW VALLEY,"Indie, Simulation, RPG",7016733.0,0.008822873641926555
227300,EURO TRUCK SIMULATOR 2,"Indie, Simulation",6957469.0,0.008747387170633492
204360,CASTLE CRASHERSR,"Action, Casual, Indie, RPG, Adventure",6952338.0,0.008740851650179174
239140,DYING LIGHT,"Action, RPG",6904927.0,0.008680462727891185
291550,BRAWLHALLA,"Action, Indie, Free to Play",6519075.0,0.00818899057074062
109600,NEVERWINTER,"Action, Free to Play, RPG, Adventure, Massively Multiplayer",6467508.0,0.008123308016995186
47890,THE SIMSTM 3,Simulation,6412164.0,0.008052814576335707
4920,NATURAL SELECTION 2,"Action, Indie, Strategy",6359246.0,0.007985411210246913
241930,MIDDLE EARTHTM SHADOW OF MORDORTM,"Action, Adventure",6294106.0,0.00790244028793269
300,DAY OF DEFEAT SOURCE,Action,6137875.0,0.007703443816270525
216150,MAPLESTORY,"Casual, Free to Play, RPG, Massively Multiplayer",6133671.0,0.007698089045662466
15620,WARHAMMER 40000 DAWN OF WAR II,Strategy,6080569.0,0.007630451312829645
242760,THE FOREST,"Action, Indie, Simulation, Adventure, Early Access",5911712.0,0.0074153726970910385
47410,STRONGHOLD KINGDOMS,"Strategy, Free to Play, Massively Multiplayer",5788261.0,0.007258129170369927
22370,FALLOUT 3 GAME OF THE YEAR EDITION,RPG,5762510.0,0.0072253292897971055
34030,NAPOLEON TOTAL WARTM,Strategy,5735217.0,0.007190565314010767
8500,EVE ONLINE,"Action, Strategy, Free to Play, RPG, Massively Multiplayer",5701005.0,0.007146988384409689
203140,HITMAN ABSOLUTIONTM,Action,5655705.0,0.0070892883110164695
365590,TOM CLANCYS THE DIVISIONTM,"Action, RPG, Adventure",5557313.0,0.006963963242113474
10180,CALL OF DUTYR MODERN WARFARER 2,Action,5547750.0,0.006951782540085674
306130,THE ELDER SCROLLSR ONLINE TAMRIEL UNLIMITEDTM,"RPG, Massively Multiplayer",5492455.0,0.006881351512309116
203160,TOMB RAIDER,"Action, Adventure",5428088.0,0.00679936518506626
242050,ASSASSINS CREEDR IV BLACK FLAGTM,"Action, Adventure",5380793.0,0.006739124015725591
6060,STAR WARS BATTLEFRONT 2 CLASSIC 2005,Action,5318132.0,0.006659310675794189
359320,ELITE DANGEROUS,"Action, Simulation, Strategy, RPG, Adventure, VR, Massively Multiplayer, First-Person, Singleplayer, Difficult, Open World, Exploration, Sandbox, Multiplayer, Sci-fi, Online Co-Op, TrackIR, Space, Space Sim, Trading",5307077.0,0.0066452295651680945
200260,BATMAN ARKHAM CITY   GAME OF THE YEAR EDITION,"Action, Adventure",5270681.0,0.006598870804214019
248820,RISK OF RAIN,"Action, Indie, RPG",5253464.0,0.0065769409551276825
400,PORTAL,Action,5230153.0,0.0065472489813778074
22330,THE ELDER SCROLLS IV OBLIVIONR GAME OF THE YEAR EDITION,RPG,5216628.0,0.006530021751959633
268500,XCOMR 2,Strategy,5142703.0,0.006435861091350499
335300,DARK SOULSTM II SCHOLAR OF THE FIRST SIN,"Action, RPG",5139094.0,0.006431264191463609
4700,MEDIEVAL II TOTAL WARTM,Strategy,5108834.0,0.00639272105192986
237310,ELSWORD,"Action, Casual, Free to Play, RPG, Adventure, Massively Multiplayer",5058844.0,0.0063290471740286005
105450,AGE OF EMPIRESR III COMPLETE COLLECTION,"Simulation, Strategy",4981071.0,0.006229985191511804
364360,TOTAL WAR WARHAMMER,"Action, Strategy",4947418.0,0.006187120278268934
20920,THE WITCHER 2 ASSASSINS OF KINGS ENHANCED EDITION,RPG,4900560.0,0.006127435729945325
207610,THE WALKING DEAD,Adventure,4826868.0,0.0060335718489631365
