name_game,year,recommend_count
//N.P.P.D. RUSH//- THE MILK OF ULTRAVIOLET,2015,1
0RBITALIS,2014,1
"10,000,000",2014,1
"10,000,000",2015,1
100% ORANGE JUICE,2013,1
100% ORANGE JUICE,2014,3
100% ORANGE JUICE,2015,3
100% ORANGE JUICE - KRILA & KAE CHARACTER PACK,2015,1
1001 SPIKES,2014,1
12 IS BETTER THAN 6,2015,1
12 LABOURS OF HERCULES,2015,2
12 LABOURS OF HERCULES II: THE CRETAN BULL,2015,2
140,2014,3
140,2015,1
18 WHEELS OF STEEL: EXTREME TRUCKER,2010,1
200% MIXED JUICE!,2015,1
20XX,2015,2
3079 -- BLOCK ACTION RPG,2014,2
3089 -- FUTURISTIC ACTION RPG,2014,2
3089 -- FUTURISTIC ACTION RPG,2015,1
3DMARK,2015,2
3DRPG,2016,1
404SIGHT,2015,5
60 SECONDS!,2015,1
6180 THE MOON,2014,1
8-BIT HORDES,2016,2
8BITBOY(TM),2015,1
8BITMMO,2013,10
8BITMMO,2014,8
8BITMMO,2015,3
9.03M,2013,1
9.03M,2014,1
9.03M,2015,1
911: FIRST RESPONDERS(R),2010,1
911: FIRST RESPONDERS(R),2015,3
A BIRD STORY,2014,6
A BIRD STORY,2015,2
A LENDA DO HEROI - O HEROI DESTA CANCAO,2016,3
A STORY ABOUT MY UNCLE,2014,7
A STORY ABOUT MY UNCLE,2015,4
A STUDY IN STEAMPUNK: CHOICE BY GASLIGHT,2015,1
A VIRUS NAMED TOM,2014,1
A WIZARD'S LIZARD,2015,1
A.R.E.S.: EXTINCTION AGENDA,2011,1
A.R.E.S.: EXTINCTION AGENDA,2014,1
A.V.A. ALLIANCE OF VALIANT ARMS(TM),2013,1
A.V.A. ALLIANCE OF VALIANT ARMS(TM),2015,2
AAAAAA!!! - A RECKLESS DISREGARD FOR GRAVITY,2011,1
ABSOLUTE DRIFT,2015,6
ABZU,2016,4
ACE - ARENA: CYBER EVOLUTION,2014,2
ACE ACADEMY,2015,1
ACE ACADEMY,2016,1
ACE COMBAT ASSAULT HORIZON - ENHANCED EDITION,2014,4
ACE OF SPADES: BATTLE BUILDER,2012,4
ACE OF SPADES: BATTLE BUILDER,2013,21
ACE OF SPADES: BATTLE BUILDER,2014,40
ACE OF SPADES: BATTLE BUILDER,2015,7
ACT OF AGGRESSION - REBOOT EDITION,2015,1
ACTION! - GAMEPLAY RECORDING AND STREAMING,2014,3
ADVENTURE CAPITALIST,2015,100
ADVENTURE COMMUNIST,2016,2
ADVENTURE TIME: FINN AND JAKE INVESTIGATIONS,2015,1
ADVENTURE TIME: FINN AND JAKE'S EPIC QUEST,2014,1
ADVENTURES OF SHUGGY,2014,2
AEON COMMAND,2014,1
AEON COMMAND,2015,1
AEROFLY FS 1 FLIGHT SIMULATOR,2014,1
AGAREST: GENERATIONS OF WAR,2014,3
AGAREST: GENERATIONS OF WAR,2015,1
AGAREST: GENERATIONS OF WAR ZERO,2015,1
AGE OF CHIVALRY,2011,1
AGE OF CHIVALRY,2012,2
AGE OF CHIVALRY,2013,1
AGE OF CHIVALRY,2014,4
AGE OF CONQUEST IV,2016,1
AGE OF EMPIRES II HD,2013,25
AGE OF EMPIRES II HD,2014,27
AGE OF EMPIRES II HD,2015,21
AGE OF EMPIRES II HD: THE AFRICAN KINGDOMS,2015,1
AGE OF EMPIRES(R) III: COMPLETE COLLECTION,2010,8
AGE OF EMPIRES(R) III: COMPLETE COLLECTION,2013,4
AGE OF EMPIRES(R) III: COMPLETE COLLECTION,2014,13
AGE OF EMPIRES(R) III: COMPLETE COLLECTION,2015,6
AGE OF MYTHOLOGY EX: TALE OF THE DRAGON,2016,1
AGE OF WONDERS,2011,1
AGFPPROV3 PREMIUM,2015,1
AI WAR: FLEET COMMAND,2014,2
AI WAR: FLEET COMMAND,2015,1
AIR BRAWL,2015,5
AIRMECH STRIKE,2012,7
AIRMECH STRIKE,2013,11
AIRMECH STRIKE,2014,27
AIRMECH STRIKE,2015,11
AIRMECH(R) SOUNDTRACK,2012,1
AIRPORT MADNESS: WORLD EDITION,2015,1
AIRPORT SIMULATOR 2014,2014,2
AIRSHIPS: CONQUER THE SKIES,2015,2
AKANEIRO: DEMON HUNTERS,2013,1
AKIBA'S TRIP: UNDEAD & UNDRESSED,2015,5
ALAN WAKE,2012,5
ALAN WAKE,2013,6
ALAN WAKE,2014,7
ALAN WAKE,2015,1
ALAN WAKE'S AMERICAN NIGHTMARE,2014,2
ALBINO LULLABY: EPISODE 1,2015,1
ALIEN BREED: IMPACT,2013,1
ALIEN RAGE - UNLIMITED,2014,1
ALIEN SWARM,2010,11
ALIEN SWARM,2011,3
ALIEN SWARM,2012,8
