id_game,name_game,anio
761140,LOST SUMMONER KITTY,2018
643980,IRONBOUND,2018
670290,REAL POOL 3D - POOLIANS,2017
767400,DAN ZHA REN 2222,2017
773570,LOG CHALLENGE,0
772540,BATTLE ROYALE TRAINER,2018
774276,SNOW - ALL ACCESS BASIC PASS,2018
774277,SNOW - ALL ACCESS PRO PASS,2018
774278,SNOW - ALL ACCESS LEGEND PASS,2018
768800,RACE,2018
768570,UNCANNY ISLANDS,0
724910,ICARUS SIX SIXTY SIX,0
770380,ARMY OF TENTACLES: (NOT) A CTHULHU DATING SIM: BLACK GOAT OF THE WOODS EDITION,2018
768880,BEACH RULES,2018
765320,PLANETARIUM 2 - ZEN ODYSSEY,2018
773650,THE FIRST THRUST OF GOD,2018
774271,SNOW - STARTER PACK,2018
773690,THE FIRST THRUST OF GOD - ALL AIRCRAFTS,2018
774279,SNOW - LIFETIME PACK,2018
772590,AFTER LIFE VR,0
640250,KITTY HAWK,0
768060,THE WARRIOR OF TREASURES,2018
711440,MORTARS VR,0
775880,RC PLANE 3 - CANYON SCENARIO,2017
775881,RC PLANE 3 - F-53B,2017
653960,DINOBLASTER,2018
777910,ROBOTPENCIL PRESENTS: UNDERSTANDING 3D FOR CONCEPT,2018
282010,CARMAGEDDON MAX PACK,1997
70,HALF-LIFE,1998
752360,FALLEN MAGE,2016
594200,DON'T GET HIT IN THE FACE,0
520680,LOST CITIES,2018
690410,TWISTED ENHANCED EDITION,2018
766850,VAPORWAVE SIMULATOR,2018
413120,TACTICS FOREVER,2018
773120,CHRISTMAS SANTA TROUBLES,2017
680970,KINGDOM WATCHER,0
754360,UNDERDONE - SOUNDTRACK,2018
716110,BITCOIN CLICKER,2018
1640,DISCIPLES II: GALLEAN'S RETURN,2006
1630,DISCIPLES II: RISE OF THE ELVES,2006
2400,THE SHIP: MURDER PARTY,2006
662570,UNITED TACTICS,0
381620,LIFE OF ROME,0
714020,IDLE ADVENTURE,0
541930,PANOPTIC,0
759920,SOULAND,2017
659780,DARKNESS AND A CROWD,2018
603280,TAROTICA VOO DOO,2017
753110,CHRONICLES OF VINLAND,2017
753100,ORBITALITY,2017
769350,MEDICALHOLODECK PERSONAL VERSION,0
764280,ATOMIC ADAM: EPISODE 1,2017
374970,GOLF MASTERS,0
758550,MIRT. TALES OF THE COLD LAND. CHAPTER 2,2017
3800,ADVENT RISING,2005
1520,DEFCON,2006
2420,THE SHIP: SINGLE PLAYER,2006
4000,GARRY'S MOD,2006
4230,RACE - THE WTCC GAME,2006
4900,ZEN OF SUDOKU,2006
2520,GUMBOY - CRAZY ADVENTURES(TM),2006
