id_user,id_game,year,recommend,sentiment
76561197970982479,1250,2011,True,Positive
76561197970982479,22200,2011,True,Positive
76561197970982479,43110,2011,True,Positive
js41637,251610,2014,True,Positive
js41637,227300,2013,True,Negative
js41637,239030,2013,True,Negative
evcentric,248820,2013,True,Positive
evcentric,370360,2015,True,Positive
evcentric,237930,2014,True,Positive
evcentric,263360,2014,True,Negative
evcentric,107200,2014,True,Positive
evcentric,224500,2014,True,Positive
doctr,250320,2013,True,Positive
doctr,20920,2012,True,Positive
doctr,204100,2012,True,Positive
doctr,224600,2014,True,Positive
doctr,207610,2012,True,Negative
doctr,108710,2012,True,Positive
maplemage,211420,2014,True,Neutral
maplemage,211820,2013,True,Positive
maplemage,730,2014,True,Positive
maplemage,204300,2013,True,Positive
Wackky,249130,2014,True,Negative
Wackky,207610,2012,True,Negative
Wackky,550,2012,True,Neutral
Wackky,65800,2012,True,Negative
Wackky,220,2012,True,Positive
76561198079601835,730,2012,True,Neutral
MeaTCompany,730,2012,True,Negative
76561198089393905,72850,2015,True,Negative
76561198089393905,440,2014,True,Neutral
76561198156664158,252950,2015,True,Positive
76561198077246154,440,2010,True,Neutral
76561198077246154,304930,2014,True,Neutral
WeiEDKrSat,4000,2013,True,Neutral
thequeenpanda,42910,2012,True,Neutral
death-hunter,232090,2015,True,Positive
death-hunter,1250,2015,True,Positive
death-hunter,4000,2014,True,Positive
DJKamBer,304930,2014,True,Negative
DJKamBer,570,2013,True,Positive
DJKamBer,218620,2015,True,Positive
DJKamBer,224260,2013,True,Positive
DJKamBer,1250,2013,True,Positive
DJKamBer,440,2012,True,Neutral
Rainbow-Dashie,730,2015,True,Positive
Rainbow-Dashie,440,2014,True,Positive
Rainbow-Dashie,49520,2014,True,Negative
76561198043472122,33440,2014,False,Negative
MarbleShrine,220200,2015,True,Positive
PPanther,211820,2014,True,Positive
devvonst,440,2014,True,Positive
devvonst,218740,2014,True,Neutral
devvonst,550,2015,True,Positive
Fr0stedLine,220,2010,True,Neutral
starkillershadow553,238090,2015,True,Positive
starkillershadow553,242130,2015,True,Negative
starkillershadow553,277430,2014,True,Positive
76561198058373434,8870,2015,True,Neutral
76561198048353577,368230,2015,True,Negative
76561198048353577,4000,2010,True,Positive
76561198048353577,33930,2013,True,Positive
76561198066046412,359320,2015,False,Negative
76561198066046412,219640,2015,True,Positive
tru_mu_,287980,2015,True,Negative
76561198070565427,218620,2010,True,Neutral
76561198070565427,208090,2015,True,Neutral
76561198070565427,242700,2014,True,Neutral
76561198070565427,570,2014,False,Neutral
76561198070565427,224260,2014,True,Neutral
SavageEeEe,221100,2015,True,Positive
76561198076909484,570,2014,True,Negative
KanadeTheNeko,331470,2014,True,Positive
KanadeTheNeko,4000,2014,True,Positive
Leaf_Light_Moscow,323370,2015,True,Positive
GoAwayZach,304930,2014,True,Positive
76561198054540475,12210,2015,True,Positive
76561198054540475,265210,2014,True,Neutral
76561198054540475,48700,2014,True,Positive
76561198085547365,238460,2014,True,Neutral
76561198085547365,34900,2010,True,Neutral
76561198061252210,730,2015,True,Positive
OfficialShroomsy,113200,2013,True,Negative
boydeer,440,2014,True,Neutral
boydeer,383080,2015,False,Neutral
VVillis,213670,2015,True,Neutral
76561198083226897,105600,2015,True,Negative
76561198075277292,730,2015,True,Neutral
76561198075277292,570,2015,True,Positive
76561198028895010,231180,2013,True,Positive
76561198028895010,620,2012,True,Positive
diego9031,4000,2010,True,Neutral
diego9031,317360,2014,True,Neutral
diego9031,223710,2015,True,Neutral
diego9031,299360,2015,True,Neutral
diego9031,322330,2015,True,Positive
diego9031,1250,2015,True,Neutral
diego9031,12100,2015,True,Neutral
diego9031,204360,2015,True,Positive
diego9031,440,2013,True,Negative
diego9031,224260,2013,True,Negative
jarrodtrim,440,2012,True,Positive
76561198078738103,304930,2017,True,Negative
76561198067936203,440,2015,True,Positive
76561198079770573,1840,2015,True,Neutral
76561198087586464,440,2013,True,Positive
Derp-e,440,2015,True,Positive
76561198070194565,233250,2014,True,Neutral
76561198070194565,449140,2016,True,Neutral
76561198070194565,368730,2015,True,Neutral
76561198070194565,427270,2017,True,Neutral
76561198070194565,397100,2016,True,Neutral
76561198070194565,248570,2015,True,Neutral
Rivtex,298630,2015,True,Neutral
UTNerd24,244210,2014,True,Negative
UTNerd24,440,2015,True,Negative
UTNerd24,376920,2015,True,Positive
UTNerd24,257750,2015,True,Neutral
UTNerd24,221910,2014,True,Negative
UTNerd24,2280,2013,True,Positive
sandwiches1,417860,2015,False,Neutral
76561198138053270,218620,2014,True,Positive
lucaswerg,218620,2014,True,Positive
lucaswerg,222880,2014,True,Neutral
Life-Of-Blu,377160,2015,True,Positive
Life-Of-Blu,211820,2013,True,Positive
CaptianAutismo,252490,2015,True,Positive
76561198075895633,440,2014,True,Positive
TheDropix101,242920,2014,True,Negative
kube134,251990,2014,True,Positive
iamthekingofbrowntown,344760,2015,False,Negative
iamthekingofbrowntown,252950,2015,True,Neutral
iamthekingofbrowntown,236430,2014,True,Neutral
